time;open;high;low;close;Volume;RSI;RSI-based MA
2022-03-23;14532.84;14539.31;14226.43;14283.65;3729590200;49.762604677970664;42.29420110188068
2022-03-24;14305.8;14375.82;14187.82;14273.79;3883580300;49.600213066685576;44.066579791956904
2022-03-25;14332.26;14428.03;14247.38;14305.76;3666340600;50.16804371348194;46.010885982941396
2022-03-28;14376;14627.58;14371.9;14417.37;3536517600;52.19304975296076;48.10141639616778
2022-03-29;14592.74;14925.25;14553.71;14820.33;5096177700;58.7159948426737;49.27260870610389
2022-03-30;14712.32;14744.72;14555.87;14606.05;3966321600;54.46060340739541;50.43496555641492
2022-03-31;14674.83;14732;14404.03;14414.75;4416037000;50.91304022902052;51.14093550426953
2022-04-01;14447.78;14506.02;14403.09;14446.48;3340610100;51.47762546983346;51.5747861840051
2022-04-04;14503.96;14535.07;14334.1;14518.16;3529534500;52.798411919190436;52.1131374903971
2022-04-05;14504.8;14603.44;14347.33;14424.36;3820755300;50.84788054946488;52.004716355681616
2022-04-06;14402.16;14437.91;14027.18;14151.69;4778080800;45.576849398694115;51.57167530604274
2022-04-07;14187.13;14315.35;14069.53;14078.15;4189075200;44.24469404474295;51.01913632649604
2022-04-08;14275.87;14321.82;14178.28;14283.67;3554339900;48.7528166994388;50.88309288010288
2022-04-11;14162.97;14298.02;14094.83;14192.78;3468469300;46.94503541139707;50.4612045130679
2022-04-12;13956.56;14180.09;13887.11;14124.95;4384162500;45.58649435586586;50.16291091863184
2022-04-13;14062.7;14100.03;13961.95;14076.44;3531032500;44.59260042986658;49.805224301716194
2022-04-14;14098.48;14198.78;14038.3;14163.85;4422641600;46.84160446144394;49.5676214979992
2022-04-19;14057.43;14199.09;13991.7;14153.46;3680195700;46.59947779287314;49.16808064370723
2022-04-20;14154.48;14362.03;14149.68;14362.03;3746387900;51.96697446856598;48.68600775984238
2022-04-21;14376.05;14598.11;14374.59;14502.41;3860395600;55.22881657417122;48.7408801288978
2022-04-22;14320.51;14372.47;14142.09;14142.09;4322670900;46.500196447574616;48.425677001651664
2022-04-25;13908.05;14037.63;13863.39;13924.17;4269476800;42.16032187165145;47.760155316067234
2022-04-26;14087.08;14112.84;13749.68;13756.4;4768871200;39.13229576143916;46.78400416194214
2022-04-27;13760.22;13849.43;13566.2;13793.94;5243766300;40.167808053296405;46.021141840787244
2022-04-28;13907.06;14074.71;13822.16;13979.84;4509042800;45.14468449563629;45.99027291914026
2022-04-29;14095.93;14187.02;14038.55;14097.88;4805996900;48.09691081047243;46.26543125954951
2022-05-02;13996.82;14036.11;13778.13;13939.07;4062571800;44.617769165809264;45.97007072143311
2022-05-03;13958.92;14081.15;13920.46;14039.47;4171096300;47.21725496965738;45.98951497559457
2022-05-04;14020.9;14073.21;13970.62;13970.82;3594549200;45.6398165758131;45.9933237055908
2022-05-05;14282.77;14315.24;13857.58;13902.52;4254474900;44.062616462800435;45.955467707943214
2022-05-06;13832.65;13851.45;13592.15;13674.29;4779086500;39.1890753336543;45.40885848452967
2022-05-09;13624.92;13697.9;13380.67;13380.67;3843399000;33.98171912379972;44.50759000816728
2022-05-10;13550.02;13719.95;13514.49;13534.74;4037645200;38.592661320005526;43.55228192612725
2022-05-11;13587.29;13829.1;13508.56;13828.64;5026098800;46.29785076083398;42.91435579660316
2022-05-12;13512.13;13808.09;13479.36;13739.64;4859652200;44.47780827003722;42.769899498207636
2022-05-13;13837.42;14034.15;13795.64;14027.93;4064380000;51.17356907912891;43.41370287017032
2022-05-16;13986.17;14043.1;13864.95;13964.38;3141903800;49.74930344903201;44.17206056214123
2022-05-17;14072.67;14203.09;14056.98;14185.94;3330674200;54.50356568104619;45.19604324983765
2022-05-18;14197.18;14226.47;13999.54;14007.76;3199125000;50.37579782073956;45.569694201630746
2022-05-19;13822.35;13882.3;13683.59;13882.3;3895948900;47.639945695618934;45.537053836284066
2022-05-20;13968.26;14161.32;13944.16;13981.91;4150902700;49.9634341455835;45.91888704912508
2022-05-23;14179.84;14217.48;14026.14;14175.4;2729055700;54.213701352325124;46.41863321931563
2022-05-24;14043.22;14105.06;13917.08;13919.75;3029343200;48.367733392414046;46.613484420501415
2022-05-25;14022.27;14053.59;13871.48;14007.93;2908420000;50.3562135044337;47.06302706633236
2022-05-26;14025.44;14253.61;14025.44;14231.29;2809688700;55.07576512041396;48.197790622529475
2022-05-27;14289.53;14463.5;14246.83;14462.19;3522582200;59.375369353679375;50.011622781806594
2022-05-30;14572.8;14589.45;14509.58;14575.98;2655081460;61.339111543097566;51.63636922631317
2022-05-31;14513.34;14547.09;14359.39;14388.35;7810089500;56.49013048452507;52.364389206576824
2022-06-01;14478.37;14489;14329.51;14340.47;3401559800;55.28900514704325;53.13661755493439
2022-06-02;14394.36;14492.78;14393.04;14485.17;2369260210;58.18281267175534;53.63727781155057
2022-06-03;14585.18;14589.91;14443.11;14460.09;2206331120;57.488302710181394;54.19006347306123
2022-06-06;14576.87;14709.38;14548.26;14653.81;1938902870;61.3281208403863;54.67753169872839
